Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),CODK Hide Product (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Book cover type (product.metafields.shopify.book-cover-type),Bookmark shape (product.metafields.shopify.bookmark-shape),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Material (product.metafields.shopify.material),Recommended age group (product.metafields.shopify.recommended-age-group),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-correspondent-by-virginia-evans,"The
Correspondent By Virginia Evans","<p><span>The Correspondent</span><span> by Virginia Evans is a heartfelt novel that explores connection, loneliness, memory, and the unexpected ways people find each other through words. Through letters and conversations, it captures the beauty of human relationships and the emotions we often struggle to say aloud.</span></p>
<p> </p>
<p><span>Tender, reflective, and deeply moving, this is a book for anyone who loves character-driven stories that feel personal and real. It reminds us that sometimes a simple message can change everything.</span></p>
<p> </p>
<p> </p>",Author’s book & bookmarks,,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,849.00,899.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-4387.jpg?v=1781976638,1,"The
Correspondent By Virginia Evans by Author’s book & bookmarks – book cover",false,"The
Correspondent By Virginia Evans | Author's Book & Bookmarks","The
Correspondent By Virginia Evans by Author’s book & bookmarks. Order your copy.",Media > Books,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
john-john-by-douglas-stuart,"John John By
Douglas Stuart","<p><span>Step into a deeply reflective and emotionally layered reading experience with </span><span>John of John</span><span> — a haunting, poetic journey that explores identity, love, memory, and the quiet battles within the human mind 🌙📖✨</span></p>
<p> </p>
<p><span>Written with a delicate balance of emotion and introspection, this book follows the fragments of a life shaped by longing, silence, and self-discovery. It gently unfolds the story of a person trying to understand who they are beyond names, expectations, and the versions of themselves shaped by others.</span></p>
<p> </p>
<p><span>📖 Thought-provoking and atmospheric, </span><span>John of John</span><span> blends storytelling with philosophical undertones, creating a narrative that feels both personal and universal. Every page carries a sense of stillness — as if the reader is walking through memories, emotions, and unanswered questions.</span></p>
<p> </p>
<p><span>From love and loss to identity and belonging, the book invites readers to sit with their thoughts and feel the weight of what it means to truly know oneself.</span></p>
<p> </p>
<p><span>Quiet. Intimate. Emotionally resonant. 🌫️</span></p>
<p> </p>
<p><span>Perfect for readers who enjoy literary fiction, introspective storytelling, symbolic narratives, and books that linger long after the final page.</span></p>
<p> </p>
<p><span>🌟 Why you’ll love it:</span></p>
<p> </p>
<p><span>• Deeply emotional and reflective storytelling</span><span><br> </span><span>• Themes of identity, love, and inner conflict</span><span><br> </span><span>• Poetic and atmospheric writing style</span><span><br> </span><span>• A narrative that encourages self-reflection</span><span><br> </span><span>• Subtle but powerful emotional impact throughout</span></p>
<p> </p>
<p><span>📚 Add </span><span>John of John</span><span> to your collection and step into a story that doesn’t just tell — it feels, reflects, and stays with you.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,849.00,899.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-4365.jpg?v=1781780320,1,"John John By
Douglas Stuart by Author’s book & bookmarks – book cover",false,"John John By
Douglas Stuart | Author's Book & Bookmarks","John John By
Douglas Stuart by Author’s book & bookmarks. Order your copy.",543543,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
partial-payment,Partial Payment,,Author’s book & bookmarks,,,,true,Payment Type,PartPayment,,,,,,,,,0.0,,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,'1,,,,,,,,,,,,g,,,active
surrounded-by-idiots-by-thomas-erikson,Surrounded by Idiots by Thomas Erikson,"<p><span>Surrounded by Idiots by</span></p>
<p><span>Thomas Erikson</span></p>
<p><span>Step into a fascinating and practical guide to understanding people with </span><span>Surrounded by Idiots</span><span> — a bestselling book that explores communication styles, personalities, and why misunderstandings happen in everyday life 🧠✨</span></p>
<p><span>Using a simple and engaging behavioral model, Thomas Erikson explains how different personality types think, communicate, react, and interact with others. The book helps readers better understand not only the people around them, but also themselves.</span></p>
<p><span>📖 Fun, insightful, and easy to follow, </span><span>Surrounded by Idiots</span><span> breaks down human behavior into relatable concepts that can improve communication, relationships, teamwork, leadership, and confidence.</span></p>
<p><span>Whether at work, in friendships, or in daily conversations, the book offers practical ways to handle different personalities more effectively and avoid unnecessary conflict.</span></p>
<p><span>Smart. Entertaining. Eye-opening. 💡</span></p>
<p><span>Perfect for readers interested in psychology, self-growth, communication skills, and understanding human behavior.</span></p>
<p><span>🌟 Why you’ll love it:</span></p>
<p><span>• Easy-to-understand insights into personality types</span><span><br> </span><span>• Helps improve communication and relationships</span><span><br> </span><span>• Fun, practical, and highly relatable examples</span><span><br> </span><span>• Useful for work, friendships, and personal growth</span><span><br> </span><span>• A bestselling self-help book with actionable lessons</span></p>
<p><span>📚 Add </span><span>Surrounded by Idiots</span><span> to your collection today and discover a smarter way to understand people, communication, and human behavior.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Book cover type,paperback,product.metafields.shopify.book-cover-type,,,,,,,,0.0,shopify,10,deny,manual,649.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3933.jpg?v=1779527253,1,Surrounded by Idiots by Thomas Erikson by Author’s book & bookmarks – book cover,false,Surrounded by Idiots by Thomas | Author's Book & Bookmarks,Surrounded by Idiots by Thomas Erikson by Author’s book & bookmarks. Order your copy.,784,,,,,,,,,,,,,,,paperback; hardcover,,,,,,,,,,g,,,active
surrounded-by-idiots-by-thomas-erikson,,,,,,,,,hardcover,,,,,,,,,0.0,shopify,0,deny,manual,649.00,699.00,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
the-almanack-of-naval-ravikant-by-eric-jorgenson,The Almanack of Naval Ravikant by Eric Jorgenson,"<p><span>The Almanack of Naval Ravikant by </span><span>Eric Jorgenson</span></p>
<p> </p>
<p><span>Step into a powerful collection of wisdom and life lessons with </span><span>The Almanack of Naval Ravikant</span><span> — a thought-provoking guide to wealth, happiness, success, and living a meaningful life 💡✨</span></p>
<p> </p>
<p><span>Built around the ideas and insights of entrepreneur and investor Naval Ravikant, this book explores how to create wealth without sacrificing peace of mind, while also focusing on personal growth, freedom, and long-term happiness.</span></p>
<p> </p>
<p><span>📖 Clear, practical, and deeply inspiring, the book combines philosophy, business wisdom, self-awareness, and modern life lessons into an easy-to-read and highly impactful experience.</span></p>
<p> </p>
<p><span>From building wealth and making better decisions to understanding happiness and relationships, every chapter offers insights that encourage readers to think differently about life and success.</span></p>
<p> </p>
<p><span>Wise. Practical. Transformative. 🌙</span></p>
<p> </p>
<p><span>Perfect for readers interested in self-growth, entrepreneurship, productivity, philosophy, and building a balanced, fulfilling life.</span></p>
<p> </p>
<p><span>🌟 Why you’ll love it:</span></p>
<p> </p>
<p><span>• Powerful lessons on wealth, happiness, and success</span></p>
<p><span>• Simple yet deeply thought-provoking insights</span></p>
<p><span>• Combines philosophy, business, and personal growth</span></p>
<p><span>• Practical advice for mindset and decision-making</span></p>
<p><span>• Inspiring and highly quotable wisdom throughout</span></p>
<p> </p>
<p><span>📚 Add </span><span>The Almanack of Naval Ravikant</span><span> to your collection today and discover timeless insights on building wealth, finding happiness, and living with purpose.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,549.00,599.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3930.jpg?v=1779526667,1,The Almanack of Naval Ravikant by Eric Jorgenson by Author’s book & bookmarks – book cover,false,The Almanack of Naval Ravikant by | Author's Book & Bookmarks,The Almanack of Naval Ravikant by Eric Jorgenson by Author’s book & bookmarks. Order your copy.,784,,,,,,,,,,,,,,,,,,self-help-personal-development; philosophy,english,,adults,,adults,,g,,,active
why-has-nobody-told-me-this-before-by-julie-smith,Why Has Nobody Told Me This Before? by Julie Smith,"<p><span>Why Has Nobody Told Me This Before? by</span></p>
<p><span>Julie Smith</span></p>
<p><span>Step into a comforting and empowering guide to mental well-being with </span><span>Why Has Nobody Told Me This Before?</span><span> — a practical and insightful book filled with tools to navigate stress, anxiety, self-doubt, low mood, and everyday emotional struggles 🌿✨</span></p>
<p><span>Written by clinical psychologist Julie Smith, this book combines professional knowledge with simple, relatable advice to help readers better understand their thoughts, emotions, and mental health.</span></p>
<p><span>📖 Warm, supportive, and easy to follow, the book offers practical techniques for building confidence, handling difficult emotions, improving resilience, and taking care of your mind in everyday life.</span></p>
<p><span>Rather than feeling overwhelming, the guidance feels calm, approachable, and genuinely helpful—like having supportive advice exactly when you need it most.</span></p>
<p><span>Comforting. Practical. Empowering. 💛</span></p>
<p><span>Perfect for readers interested in mental health, self-growth, emotional healing, and building healthier habits for everyday life.</span></p>
<p><span>🌟 Why you’ll love it:</span></p>
<p><span>• Practical mental health advice that’s easy to apply</span><span><br> </span><span>• Supportive and relatable writing style</span><span><br> </span><span>• Covers anxiety, confidence, stress, motivation, and emotions</span><span><br> </span><span>• Helpful tools for everyday emotional well-being</span><span><br> </span><span>• A comforting self-help book filled with realistic guidance</span></p>
<p><span>📚 Add </span><span>Why Has Nobody Told Me This Before?</span><span> to your collection today and discover practical tools for a calmer, healthier, and more balanced life.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,649.00,699.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3929.jpg?v=1779526424,1,Why Has Nobody Told Me This Before? by Julie Smith by Author’s book & bookmarks – book cover,false,Why Has Nobody Told Me This Before? | Author's Book & Bookmarks,Why Has Nobody Told Me This Before? by Julie Smith by Author’s book & bookmarks. Order your copy.,784,,,,,,,,,,,,,,,,,,self-help-personal-development,english,,adults,,adults,,g,,,active
you-can-heal-your-life-by-louise-hay,You Can Heal Your Life by Louise Hay,"<p><span>You Can Heal Your Life by</span></p>
<p><span>Louise Hay</span></p>
<p><span>Step into a life-changing journey of healing, self-love, and transformation with </span><span>You Can Heal Your Life</span><span> — one of the world’s most influential self-help books that inspires readers to change their thoughts and transform their lives ✨🌸</span></p>
<p><span>Through gentle wisdom and empowering insights, Louise Hay explores the deep connection between the mind, emotions, and overall well-being. The book encourages readers to let go of negative thinking, heal emotional wounds, and build a more loving relationship with themselves.</span></p>
<p><span>📖 Warm, uplifting, and deeply comforting, </span><span>You Can Heal Your Life</span><span> offers powerful affirmations, reflections, and practical guidance to help readers overcome fear, self-doubt, guilt, and emotional pain.</span></p>
<p><span>More than just a self-help book, it’s a reminder that healing begins with self-acceptance, compassion, and the belief that positive change is possible.</span></p>
<p><span>Healing. Empowering. Transformative. 💖</span></p>
<p><span>Perfect for readers interested in self-growth, emotional healing, mindfulness, and positive living.</span></p>
<p><span>🌟 Why you’ll love it:</span></p>
<p><span>• Inspiring and emotionally uplifting guidance</span><span><br> </span><span>• Focuses on self-love, healing, and positive thinking</span><span><br> </span><span>• Includes affirmations and practical life lessons</span><span><br> </span><span>• Encourages emotional growth and inner peace</span><span><br> </span><span>• A timeless self-help classic loved worldwide</span></p>
<p><span>📚 Add </span><span>You Can Heal Your Life</span><span> to your collection today and begin a beautiful journey toward healing, positivity, and self-discovery.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,10,deny,manual,599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3927_e9913d79-3140-4fcb-9580-95f749fefe2a.jpg?v=1779525939,1,You Can Heal Your Life by Louise Hay by Author’s book & bookmarks – book cover,false,You Can Heal Your Life by Louise Hay | Author's Book & Bookmarks,You Can Heal Your Life by Louise Hay by Author’s book & bookmarks. Order your copy.,784,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
talk-like-ted-by-carmine-gallo,Talk Like TED by Carmine Gallo,"<p><span>Talk Like TED by </span><span>Carmine Gallo</span></p>
<p> </p>
<p><span>Step into the world of powerful communication and inspiring storytelling with </span><span>Talk Like TED</span><span> — a practical and motivating guide that reveals the secrets behind the world’s most successful and memorable TED Talks 🎤✨</span></p>
<p> </p>
<p><span>Drawing lessons from some of the most influential speakers and presentations, Carmine Gallo explores how passion, storytelling, confidence, and authenticity can transform the way we communicate ideas.</span></p>
<p> </p>
<p><span>📖 Insightful, engaging, and easy to understand, this book breaks down the techniques used by great speakers to capture attention, inspire audiences, and deliver messages that truly connect.</span></p>
<p> </p>
<p><span>Whether you’re speaking in public, creating content, leading a business, or simply wanting to communicate better, </span><span>Talk Like TED</span><span> offers valuable lessons that can help you speak with clarity and impact.</span></p>
<p> </p>
<p><span>Inspiring. Practical. Powerful. 💡</span></p>
<p> </p>
<p><span>Perfect for readers interested in self-growth, public speaking, communication skills, leadership, and personal development.</span></p>
<p> </p>
<p><span>🌟 Why you’ll love it:</span></p>
<p> </p>
<p><span>• Practical tips for confident and impactful communication</span></p>
<p><span>• Explores storytelling, presentation, and speaking techniques</span></p>
<p><span>• Easy-to-read and highly motivating writing style</span></p>
<p><span>• Inspired by successful TED Talks and speakers</span></p>
<p><span>• Helps improve confidence, communication, and influence</span></p>
<p> </p>
<p><span>📚 Add </span><span>Talk Like TED</span><span> to your collection today and learn how to communicate ideas in a way that inspires, connects, and leaves a lasting impression.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,599.00,650.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3926.jpg?v=1779525510,1,Talk Like TED by Carmine Gallo by Author’s book & bookmarks – book cover,false,Talk Like TED by Carmine Gallo | Author's Book & Bookmarks,Talk Like TED by Carmine Gallo by Author’s book & bookmarks. Order your copy.,784,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
meditations-by-marcus-aurelius,Meditations by Marcus Aurelius,"<p><span>Meditations by</span></p>
<p><span>Marcus Aurelius</span></p>
<p><span>Step into one of the most influential and timeless works of philosophy with </span><span>Meditations</span><span> — a powerful collection of personal reflections on discipline, purpose, resilience, and the art of living wisely 🏛️✨</span></p>
<p><span>Written by Roman emperor Marcus Aurelius, this remarkable book offers deeply thoughtful insights on handling life’s challenges with calmness, strength, and clarity. Through simple yet profound reflections, he explores human nature, self-control, morality, and inner peace.</span></p>
<p><span>📖 Honest, wise, and deeply introspective, </span><span>Meditations</span><span> is not just a philosophy book—it’s a guide to navigating life with patience, courage, humility, and resilience.</span></p>
<p><span>Despite being written centuries ago, its lessons about emotions, hardships, ambition, and personal growth remain incredibly relevant even today.</span></p>
<p><span>Wise. Reflective. Timeless. 🌙</span></p>
<p><span>Perfect for readers who enjoy philosophy, self-growth, stoicism, and books that inspire deeper thinking and personal strength.</span></p>
<p><span>🌟 Why you’ll love it:</span></p>
<p><span>• Timeless wisdom and practical life lessons</span><span><br> </span><span>• Explores discipline, resilience, and inner peace</span><span><br> </span><span>• Thought-provoking and deeply reflective writing</span><span><br> </span><span>• A foundational classic of Stoic philosophy</span><span><br> </span><span>• Inspires calmness, clarity, and self-improvement</span></p>
<p><span>📚 Add </span><span>Meditations</span><span> to your collection today and discover a timeless guide to strength, wisdom, and living a meaningful life.</span></p>",Author’s book & bookmarks,Media > Books,,,true,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,599.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0967/8818/5393/files/IMG-3925.jpg?v=1779525297,1,Meditations by Marcus Aurelius by Author’s book & bookmarks – book cover,false,Meditations by Marcus Aurelius | Author's Book & Bookmarks,Meditations by Marcus Aurelius by Author’s book & bookmarks. Add to your reading list.,784,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
